website,photo,ready_to_link,ordernum,lat,lon,city,name_search,photo_version,zip,country_short_code,bad_standing,effective_date,status,address,active,state_code,show_on_map,kids,name,country,org_type,aid,full_state
http://crossfitspokane.blogspot.com/,https://profilepicsbucket.crossfit.com/16406-A985_4-184.jpg,1,274,47.672496,-117.408627,Spokane,crossfit,4,99207,US,0,2007-02-07T08:00:00Z,0,116 E Augusta Ave,1,WA,1,0,CrossFit Spokane,United States,Commercial,985,Washington
http://www.crossfitrva.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,280,37.5673171,-77.461658,Richmond,crossfit,0,23220,US,0,2007-03-05T08:00:00Z,0,2522 Hermitage Rd, Suite D,1,VA,1,0,CrossFit RVA,United States,Commercial,990,Virginia
http://www.CrossFitEvolution.com,https://profilepicsbucket.crossfit.com/a3f94-A994_3-184.jpg,1,288,28.6993466,-81.3325539,Longwood,crossfit,3,32750,US,0,2007-03-26T07:00:00Z,0,851 E State Rd 434, Suite 208,1,FL,1,0,CrossFit Evolution,United States,Commercial,994,Florida
http://crossfitthoroughbreds.com/,https://profilepicsbucket.crossfit.com/8273d-A1032_3-184.jpg,1,1051,26.572809,-81.870487,Fort Myers,crossfit,3,33907,US,0,2007-04-11T07:00:00Z,0,11495 S. Cleveland Ave.,1,FL,1,0,CrossFit Thoroughbreds,United States,Commercial,1032,Florida
http://crossfitomaha.com/,https://profilepicsbucket.crossfit.com/a721e-A1033_3-184.jpg,1,295,41.2133357,-96.050158,Omaha,crossfit,3,68127,US,0,2007-04-27T07:00:00Z,0,8938 L Street,1,NE,1,0,CrossFit Omaha,United States,Commercial,1033,Nebraska
http://www.turlockcrossfit.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,460,37.495047,-120.872518,Turlock,crossfit,0,95380,US,0,2007-04-27T07:00:00Z,0,351 N Walnut, SP#12,1,CA,1,0,CrossFit Turlock,United States,Commercial,1034,California
http://btbfitness.com/programs/crossfit/,https://profilepicsbucket.crossfit.com/b5ac7-A1035_2-184.jpg,1,297,33.772744,-84.353757,Atlanta,btb,2,30306,US,0,2007-04-27T07:00:00Z,0,696-A Cleburne Terrace,1,GA,1,1,BTB CrossFit,United States,Commercial,1035,Georgia
http://www.crossfitwakeforest.com/,https://profilepicsbucket.crossfit.com/f56aa-A1036_1-184.jpg,1,305,35.9531192,-78.5161807,Wake Forest,crossfit,1,27587,US,0,2007-04-27T07:00:00Z,0,1600 Heritage Commerce Ct. Suite 107,1,NC,1,1,CrossFit Wake Forest,United States,Commercial,1036,North Carolina
http://crossfitmaricopa.wordpress.com/,https://profilepicsbucket.crossfit.com/1a938-A1037_3-184.jpg,1,1828,33.075051,-112.045133,Maricopa,crossfit,3,85139,US,0,2007-04-28T07:00:00Z,0,21576 N John Wayne Parkway Ste 2B,1,AZ,1,0,CrossFit Maricopa,United States,Commercial,1037,Arizona
http://www.crossfitpc.com,https://profilepicsbucket.crossfit.com/b0fb5-A1038_2-184.jpg,1,301,40.747865,-111.56434,Park City,crossfit,2,84098,US,0,2007-04-28T07:00:00Z,0,2780 Rasmussen Rd. Ste B2, B3,1,UT,1,1,CrossFit Park City,United States,Commercial,1038,Utah
